last word,count,mean,min,max,std,median,maxdiff,mindiff
FIRS,78,448707.641025641,69000.0,2050000.0,388517.2634027648,291747.5,1758252.5,222747.5
FIELDS,906,373046.4757174393,800.0,8500000.0,344813.26354937896,328000.0,8172000.0,327200.0
FIELD,968,368597.76549586776,6500.0,1694251.0,187987.2213619409,335000.0,1359251.0,328500.0
FELIN,80,247633.6625,60000.0,610000.0,120115.77246403357,216000.0,394000.0,156000.0
FARM,138,445187.268115942,2800.0,2300000.0,308446.41270475375,383750.0,1916250.0,380950.0
FAIRWAYS,71,382088.8450704225,54000.0,1200000.0,239303.0924023607,350000.0,850000.0,296000.0
FAIRWAY,252,391164.9682539682,80000.0,1460000.0,212824.25186404164,343750.0,1116250.0,263750.0
FAIRFIELD,56,340189.375,1500.0,1602000.0,240382.8220380273,282500.0,1319500.0,281000.0
FACH,50,290790.0,80000.0,4810000.0,658463.2006670176,177000.0,4633000.0,97000.0
ESTATE,1329,767874.9992475546,500.0,71346000.0,3402331.674378704,280000.0,71066000.0,279500.0
ESPLANADE,227,380448.0660792952,10000.0,2900000.0,379741.920258194,276000.0,2624000.0,266000.0
END,1426,498750.17952314165,7000.0,10500000.0,671780.5007499196,370750.0,10129250.0,363750.0
EMBANKMENT,72,1159987.4305555555,13750.0,40800000.0,4789595.248825576,325000.0,40475000.0,311250.0
ELMS,81,345651.23456790124,77500.0,1900000.0,247841.07937034324,285000.0,1615000.0,207500.0
EDGE,152,372483.4539473684,44732.0,4550000.0,402774.67506163346,295500.0,4254500.0,250768.0
EASTGATE,89,367426.06741573033,90000.0,9000000.0,940820.2178087843,212000.0,8788000.0,122000.0
EAST,1367,365763.7256766642,145.0,11076317.0,717582.5787688559,235000.0,10841317.0,234855.0
DROVE,188,414961.07446808513,3000.0,2487500.0,318591.45880366425,350000.0,2137500.0,347000.0
DRIVE,53103,351274.62175394985,150.0,104400000.0,805362.8994282538,285000.0,104115000.0,284850.0
DRIFT,89,457006.6853932584,112000.0,2025000.0,351720.4933212269,385000.0,1640000.0,273000.0
DOWNS,89,475778.202247191,58800.0,2500000.0,389734.5414934311,380000.0,2120000.0,321200.0
DOWN,160,498952.64375,100000.0,2180000.0,323333.9425999644,418750.0,1761250.0,318750.0
DERI,57,217815.7894736842,52000.0,620000.0,126866.58598345643,180000.0,440000.0,128000.0
DENE,172,423303.51744186046,7840.0,2550000.0,381330.0518194053,315000.0,2235000.0,307160.0
DELL,129,358184.4186046512,8000.0,1240000.0,205921.24861486402,338500.0,901500.0,330500.0
DALE,198,312438.58585858584,1000.0,2100000.0,233524.98123146818,260000.0,1840000.0,259000.0
CROSSWAYS,51,358108.82352941175,13000.0,1230000.0,246346.24407647914,275000.0,955000.0,262000.0
CROSS,215,473994.4651162791,1900.0,5000000.0,568698.531893046,328000.0,4672000.0,326100.0
CROFT,2034,305517.5334316617,7250.0,4815000.0,210561.23836385077,267500.0,4547500.0,260250.0
CREST,126,331864.44444444444,59000.0,1800000.0,268026.985150542,242500.0,1557500.0,183500.0
CRESCENT,20460,329995.60083088954,150.0,48600000.0,503383.13697192544,270000.0,48330000.0,269850.0
COVERT,53,284733.96226415096,85000.0,795000.0,181668.55168282983,230000.0,565000.0,145000.0
COURTYARD,70,245930.7142857143,2500.0,495000.0,107911.84247272964,235000.0,260000.0,232500.0
COURT,14388,255101.54357798165,500.0,15480844.0,295703.28457443946,200000.0,15280844.0,199500.0
COTTAGES,1448,328522.32251381216,500.0,4950000.0,230865.6397508913,289975.0,4660025.0,289475.0
COTTAGE,75,348241.4,200.0,2530000.0,289175.29750808916,295000.0,2235000.0,294800.0
CORNER,291,454670.25773195876,84000.0,9800000.0,621331.4927207415,343000.0,9457000.0,259000.0
COPSE,240,469088.1875,3844.0,2840000.0,334539.0114433845,390227.5,2449772.5,386383.5
COPPICE,104,401062.8173076923,65000.0,2150000.0,293198.02310462715,328000.0,1822000.0,263000.0
COMMON,400,631042.9075,950.0,8170000.0,863087.8034887363,404000.0,7766000.0,403050.0
COED,156,277631.14743589744,62000.0,1779882.0,213175.0421863354,222500.0,1557382.0,160500.0
CLOSE,76696,328787.99451079586,115.0,38690227.0,342991.6815805551,285000.0,38405227.0,284885.0
CLOISTERS,67,285117.1641791045,38000.0,1620000.0,230178.342837751,232500.0,1387500.0,194500.0
CLIFF,62,316795.1612903226,64800.0,1200000.0,236459.40293948588,235000.0,965000.0,170200.0
CIRCUS,79,548701.582278481,20000.0,7000000.0,856661.6573120815,330000.0,6670000.0,310000.0
CIRCUIT,51,1287274.5098039217,255000.0,3000000.0,670615.1527793381,1300000.0,1700000.0,1045000.0
CIRCLE,186,1017861.0698924732,10000.0,138900000.0,10166023.984515095,241000.0,138659000.0,231000.0
CHURCHFIELDS,62,378274.9193548387,43500.0,1055000.0,229750.85208727617,320000.0,735000.0,276500.0
CHEAPSIDE,53,192493.35849056602,18000.0,935000.0,195863.82191187507,140000.0,795000.0,122000.0
CHASE,1203,387551.0008312552,7000.0,4200000.0,307835.82011289184,325000.0,3875000.0,318000.0
CENTRE,261,1114549.153256705,7000.0,24240000.0,3397369.129425502,250000.0,23990000.0,243000.0
CELYN,89,252257.19101123596,1495.0,710000.0,122666.84037130413,225000.0,485000.0,223505.0
CEDARS,51,323735.1960784314,70000.0,1275000.0,219560.59454501572,258000.0,1017000.0,188000.0
CAUSEWAY,226,419579.38053097343,15000.0,10250000.0,749959.3833877883,300000.0,9950000.0,285000.0
CASTELL,61,266720.3278688525,90000.0,480000.0,91776.07906779075,298000.0,182000.0,208000.0
BUTTS,58,386670.224137931,80000.0,1000000.0,200106.07974079545,365000.0,635000.0,285000.0
BUNGALOWS,84,237855.14285714287,39995.0,1759500.0,209377.19843614136,185000.0,1574500.0,145005.0
BUILDINGS,160,323404.59375,35000.0,3300000.0,387153.84822603816,200000.0,3100000.0,165000.0
BRYN,159,223462.20125786163,7000.0,700000.0,110587.1647128984,200000.0,500000.0,193000.0
BROW,234,325995.3931623932,2000.0,2250000.0,276885.1904490675,262425.0,1987575.0,260425.0
BROOKSIDE,153,338922.7254901961,300.0,1900000.0,221090.22641774654,317000.0,1583000.0,316700.0
BROOK,172,289614.27906976745,62000.0,1380000.0,171303.428536143,265499.5,1114500.5,203499.5
BROADWAY,672,381362.375,1100.0,7035000.0,557960.6289817311,252750.0,6782250.0,251650.0
BROADLANDS,51,301010.09803921566,135000.0,585000.0,125936.34443436172,260000.0,325000.0,125000.0
BRIDGE,96,367861.46875,46000.0,1900000.0,299547.65281343984,292500.0,1607500.0,246500.0
BRAMBLES,72,275039.5833333333,1650.0,712500.0,170666.68733122075,279000.0,433500.0,277350.0
BOULEVARD,690,623797.0623188405,2000.0,37960000.0,2236467.8924822863,313750.0,37646250.0,311750.0
BOTTOM,71,785392.6338028169,80000.0,5250000.0,766721.5173886844,640000.0,4610000.0,560000.0
BIRCHES,55,385120.0,95000.0,1325000.0,213477.68414902207,355000.0,970000.0,260000.0
BERLLAN,58,288005.8448275862,100000.0,709818.0,145570.77252154486,252000.0,457818.0,152000.0
BEECHES,141,568037.5886524823,3000.0,20000000.0,1678584.8965524926,365000.0,19635000.0,362000.0
BARTON,53,559608.3962264151,10000.0,4850000.0,821254.7319824883,343500.0,4506500.0,333500.0
BARBICAN,67,989716.4179104478,430000.0,2300000.0,420860.3491827746,895000.0,1405000.0,465000.0
BANKS,64,294987.109375,70000.0,1200000.0,188655.0262474245,255000.0,945000.0,185000.0
BANK,1118,341474.01788908767,29500.0,22121500.0,848247.090371205,245500.0,21876000.0,216000.0
AVENUE,62814,354189.2485114783,160.0,67400000.0,598688.7182005064,270000.0,67130000.0,269840.0
APPROACH,540,344538.3185185185,20000.0,3390000.0,292384.0287846826,291500.0,3098500.0,271500.0
AFON,67,248049.92537313432,87000.0,499950.0,113733.97792753763,225000.0,274950.0,138000.0
ACRES,247,361924.56275303644,77000.0,2250000.0,235379.32659506146,318250.0,1931750.0,241250.0
ACRE,192,388568.9739583333,107500.0,2310000.0,262771.3117149635,343500.0,1966500.0,236000.0
